road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,bun,ji,hjd_cd,public_price,jimok_cd,area,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,uploaded_mo,uploaded_day,price_per_area
2,69.4,2020,10,23,11440,10100,0330,0022,000,7750000,08,69.4,23,210,02,03,06,2020,01,01,14524495.7
1,65.1,2016,06,9,11140,14700,0151,0110,000,5710000,08,65.1,15,230,02,03,08,2020,01,01,6420890.9
1,83.4,2016,09,3,11170,11300,0078,0003,506,5171000,08,273.1,14,130,02,04,08,2020,01,01,5995203.8
0,122.0,2017,10,12,11500,11000,0065,0001,110,94300,05,122.0,44,720,04,04,12,2020,01,01,120983.6
3,845.0,2020,09,25,11260,10600,0395,0015,019,3505000,01,845.0,14,230,02,04,05,2020,01,01,6295858.0
1,484.0,2020,06,25,11680,11300,0142,0004,000,590000,01,484.0,44,510,02,04,08,2020,01,01,847107.4
1,136.0,2019,07,24,11590,10500,0076,0079,209,4210000,08,136.0,13,130,04,04,08,2020,01,01,5085514.7
0,179.0,2017,05,13,11380,10100,0313,0010,000,752400,05,179.0,13,910,00,00,00,2020,01,01,726257.0
1,97.1,2020,07,2,11590,10700,1034,0028,213,3576000,08,97.1,14,110,02,01,10,2020,01,01,8908341.9
1,220.9,2020,07,4,11650,10200,0317,0006,000,6749000,08,459.5,14,210,02,04,08,2020,01,01,24898144.0
1,192.0,2020,07,31,11110,18400,0338,0046,905,1877000,08,192.0,11,150,04,04,10,2020,01,01,3227656.2
1,404.0,2020,06,29,11470,10200,0131,0027,602,3535000,08,404.0,14,150,02,03,08,2020,01,01,4785445.5
4,170.0,2020,05,19,11320,10800,0274,0002,001,1828000,01,170.0,43,530,02,04,01,2020,01,01,3000000.0
1,128.0,2019,04,18,11740,10300,0010,0005,103,889300,01,128.0,44,510,02,04,08,2020,01,01,898437.5
1,258.0,2016,05,26,11560,13200,1881,0000,690,3920000,08,258.0,14,150,02,07,02,2020,01,01,3299612.4
1,49.0,2016,10,29,11290,13300,0491,0004,908,2059000,08,49.0,15,110,02,07,08,2018,01,01,3475918.4
1,180.0,2018,01,8,11140,16200,0432,1164,009,5053000,08,180.0,15,150,02,04,09,2020,01,01,5055555.6
3,186.0,2019,07,19,11740,10600,0115,0005,106,752500,01,186.0,44,510,02,07,04,2020,01,01,564516.1
0,33.0,2019,08,9,11410,12000,0258,0121,000,1367000,08,33.0,22,910,00,00,00,2020,01,01,7274242.4
4,33.3,2020,12,1,11170,10800,0236,0019,504,10540000,08,33.3,22,210,02,04,03,2020,01,01,29339339.3
3,342.1,2019,07,31,11410,10200,0063,0004,000,6741000,08,342.1,15,210,02,04,04,2020,01,01,9257527.0
2,33.0,2018,02,5,11530,11000,0100,0130,110,2147000,08,33.0,33,410,03,04,06,2020,01,01,2225757.6
2,754.5,2020,03,4,11320,10700,0749,0009,005,3070000,08,754.5,33,420,02,04,07,2020,01,01,7554672.0
