road_type,lot_ar,contract_ym,contract_day,price,key
8m미만,136.5,201806,8,1260000000.0,66640501184096408890
-,48.0,201901,20,19000000.0,54289052756749100101
25m이상,63.0,201910,21,804510000.0,22352850439198270511
8m미만,525.7,201905,28,10287000000.0,3481726627316300091
-,129.0,202002,26,355800000.0,29658194320444571810
-,76.0,201605,12,176320000.0,82441351317860822671
25m이상,194.7,201805,25,1228560000.0,37197601681551909481
8m미만,153.1,201902,21,2439410000.0,81038322060566808291
8m미만,274.0,201611,30,663000000.0,52773358188105487740
8m미만,522.3,202002,21,7350000000.0,19665825644070347681
8m미만,47.3,202004,2,215000000.0,25959983679577455781
8m미만,309.8,201805,23,6278870000.0,35827356931427991851
12m미만,33.0,201806,15,294480000.0,7246388370521734200
25m미만,58.0,202012,16,370000000.0,40569265732394195730
8m미만,290.6,202002,18,2170000000.0,20287460664954789611
12m미만,404.3,201901,8,7210000000.0,50389530148251657240
8m미만,189.9,201910,23,2500000000.0,5542555285751351110
8m미만,111.5,201810,19,1064660000.0,1558137912822498150
25m이상,58.3,201605,28,150000000.0,75207003027946279531
-,291.0,201807,21,60000000.0,52418628909314244821
12m미만,99.2,201804,18,848000000.0,7327638054976410210
12m미만,205.1,201911,26,2110000000.0,6549115902797064461
25m미만,252.2,202010,15,7671690000.0,36542813919449416781
8m미만,211.6,201901,25,2230000000.0,14152571849730562160
-,53.0,202001,3,130650000.0,60041289228891596680
8m미만,474.1,201606,19,1650000000.0,57832292066246105691
8m미만,825.1,202007,31,7038100000.0,90509363423027396091
8m미만,50.4,201609,5,457000000.0,51315644523521245231
-,443.0,201803,26,420000000.0,28683828328609852081
12m미만,50.0,201604,16,260000000.0,62580267820175123880
-,111.0,201803,29,410700000.0,46673501434529354990
12m미만,35.0,201603,31,200000000.0,62699524007589729611
8m미만,114.0,202004,28,2049940000.0,69645887345564049670
8m미만,149.0,201902,21,766000000.0,31215942111384718181
8m미만,477.0,201903,13,2000000000.0,84254609401227394930
25m이상,636.0,202003,20,1400000000.0,83041503514188270400
8m미만,126.0,202009,11,543400000.0,21578801472387168421
8m미만,176.0,201808,10,655000000.0,49173061091600929800
8m미만,311.0,201612,29,580560000.0,39224756557713510231
8m미만,264.0,201902,19,1077870000.0,65569963736396105041
8m미만,333.9,202007,31,2210420000.0,41831639512807433031
12m미만,71.0,201605,18,300000000.0,4995979665351871121
8m미만,172.6,202006,18,420000000.0,50689211285533823411
12m미만,44.0,201910,12,605000000.0,47251612905270172031
25m미만,45.0,201608,24,290000000.0,71946416706975020031
12m미만,44.6,201611,11,324280000.0,36067521382777510831
25m이상,137.2,201805,12,690000000.0,42695225314793240791
25m이상,231.0,201812,10,700000000.0,34259060125325043080
12m미만,33.0,201609,29,89100000.0,23381348536773631921
8m미만,60.0,201605,26,425000000.0,9433194223732547971
8m미만,104.4,202007,4,895000000.0,55170293205475789150
25m미만,37.4,201904,12,680000000.0,52174034144633298540
8m미만,93.8,201805,9,450000000.0,58369190903769986420
8m미만,139.0,201610,23,1014000000.0,48732892921856527101
8m미만,42.0,201605,23,256890000.0,84867580053608372981
8m미만,215.0,202005,23,800000000.0,89408417282593514330
8m미만,446.0,202002,7,1231500000.0,39154368260618063430
8m미만,149.1,201907,2,1231220000.0,19136519851052068851
25m미만,33.8,201608,31,1577380000.0,52247334402705484410
12m미만,166.0,202009,17,700000000.0,37971067311583100180
12m미만,66.0,201606,28,195000000.0,46543240550976414051
12m미만,167.3,201811,7,2179500000.0,9884810008722129301
12m미만,60.8,201910,31,594610000.0,26157980780817034621
8m미만,327.0,202007,13,3710000000.0,12855648554580826850
8m미만,96.0,201608,8,638000000.0,40661314701806678760
8m미만,142.1,201909,10,2800000000.0,15065934136153052981
8m미만,40.0,201611,17,264000000.0,81065256900194014700
-,37.0,201812,21,76710000.0,33541999933939940601
25m이상,54.0,201903,5,1306760000.0,85896935268585565371
12m미만,192.7,202005,29,6971400000.0,26537773381593456290
8m미만,93.6,201904,30,720000000.0,76819195241348889700
12m미만,47.0,201810,8,130000000.0,43707442185238779490
12m미만,192.7,201905,10,11032570000.0,26537773381593456290
12m미만,43.0,201907,24,191350000.0,72547397758181033881
8m미만,80.0,201907,9,280000000.0,86703752153344931731
-,93.0,201610,20,547220000.0,79860242666523972311
25m이상,201.7,201810,5,1564200000.0,71374941601307945681
8m미만,315.0,201908,8,1330000000.0,12594497147533681841
8m미만,287.0,201909,25,1484600000.0,11977651075571248040
